"articlenumber_value","price","special_price","releasedate"
"S74597","7990",,"2016-26-02 00:00:00"
"S74598","1590",,"2016-29-01 00:00:00"
"S74602","1990",,"2016-29-01 00:00:00"
"S74605","1590",,"2016-29-01 00:00:00"
"S74615","3990",,"2016-29-01 00:00:00"
"S74616","7990",,"2016-29-01 00:00:00"
"S74632","2990",,"2016-29-01 00:00:00"
"S74633","2990",,"2016-05-02 00:00:00"
"S74634","2990",,"2016-26-02 00:00:00"
"S74637","2290",,"2016-29-01 00:00:00"
"S74645","2990",,"2016-29-01 00:00:00"
"S74650","2290",,"2016-29-01 00:00:00"
"S74672","4190",,"2016-29-01 00:00:00"
"S74674","4190",,"2016-05-02 00:00:00"
"S74679","7990",,"2016-26-02 00:00:00"
"S74685","980",,"2016-01-02 00:00:00"
"S74766","1090",,"2016-01-01 00:00:00"
"S74931","8490",,"2016-11-02 00:00:00"
"S74932","8490",,"2016-11-02 00:00:00"
"S75039","3490",,"2016-01-02 00:00:00"
"S75126","3490",,"2016-01-01 00:00:00"
"S75138","3890",,"2016-01-01 00:00:00"
"S75157","3190",,"2016-01-02 00:00:00"
"S75158","3190",,"2016-01-02 00:00:00"
"S75159","3190",,"2016-01-02 00:00:00"
"S75246","5290",,"2016-15-02 00:00:00"
"S75247","5290",,"2016-15-02 00:00:00"
"S75249","5290",,"2016-01-02 00:00:00"
"S75250","5290",,"2016-01-02 00:00:00"
"S75443","1790",,"2016-01-02 00:00:00"
"S75488","3990",,"2016-01-01 00:00:00"
