"articlenumber_value","price","special_price","releasedate"
"AJ9333","39",,"2016-01-02 00:00:00"
"AJ9442","59",,"2016-01-02 00:00:00"
"AJ9463","12",,"2016-01-02 00:00:00"
"AJ9464","12",,"2016-01-02 00:00:00"
"AJ9465","12",,"2016-01-02 00:00:00"
"AJ9466","12",,"2016-01-02 00:00:00"
"AJ9523","109",,"2016-01-02 00:00:00"
"AJ9525","19",,"2016-01-01 00:00:00"
"AJ9699","59",,"2016-01-02 00:00:00"
"AJ9700","59",,"2016-01-02 00:00:00"
"AJ9713","25",,"2016-01-01 00:00:00"
"AJ9908","25",,"2016-01-01 00:00:00"
"AJ9936","39",,"2016-01-01 00:00:00"
"AJ9982","59",,"2016-01-02 00:00:00"
"AJ9983","59",,"2016-01-02 00:00:00"
"AJ9984","59",,"2016-01-02 00:00:00"
"AJ9988","25",,"2016-01-02 00:00:00"
"AJ9989","25",,"2016-01-02 00:00:00"
"AJ9991","79",,"2016-01-02 00:00:00"
"AJ9992","79",,"2016-01-02 00:00:00"
"AJ9993","69",,"2016-01-02 00:00:00"
"AJ9994","69",,"2016-01-02 00:00:00"
"AJ9997","59",,"2016-01-02 00:00:00"
"AJ9998","59",,"2016-01-02 00:00:00"
"AK0025","19",,"2016-01-02 00:00:00"
"AK0026","19",,"2016-01-02 00:00:00"
"AK0027","19",,"2016-01-02 00:00:00"
"AK0071","59",,"2016-01-02 00:00:00"
"AK0072","59",,"2016-01-02 00:00:00"
"AK0078","49",,"2016-01-02 00:00:00"
"AK0083","45",,"2016-01-01 00:00:00"
"AK0088","49",,"2016-01-01 00:00:00"
"AK0238","49",,"2016-01-02 00:00:00"
"AK0375","99",,"2016-01-02 00:00:00"
"AK0674","39",,"2016-01-02 00:00:00"
"AK0690","59",,"2016-01-02 00:00:00"
"AK0706","89",,"2016-01-01 00:00:00"
"AK0707","79",,"2016-01-02 00:00:00"
"AK0718","69",,"2016-01-02 00:00:00"
"AK0946","29",,"2016-01-01 00:00:00"
"AK0959","35",,"2016-01-02 00:00:00"
"AK0960","35",,"2016-01-02 00:00:00"
"AK1193","35",,"2016-01-02 00:00:00"
"AK1195","35",,"2016-01-02 00:00:00"
"AK1535","35",,"2016-01-01 00:00:00"
"AK1601","79",,"2016-01-02 00:00:00"
"AK1603","79",,"2016-01-01 00:00:00"
"AK1617","29",,"2016-01-02 00:00:00"
"AK1618","29",,"2016-01-01 00:00:00"
"AK1757","39",,"2016-01-02 00:00:00"
"AK1764","49",,"2016-01-01 00:00:00"
