2016-12-20 13:47:39,411 [DEBUG] org.apache.http.headers  - http-outgoing-3 << Date: Tue, 20 Dec 2016 08:17:39 GMT
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-3: Close connection
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 3][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 4][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:17250
2016-12-20 13:47:39,413 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:17250
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:21412<->127.0.0.1:17250
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-4: set socket timeout to 10800000
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/window/maximize HTTP/1.1
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/window/maximize HTTP/1.1
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Content-Type: application/json; charset=utf-8
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Content-Length: 2
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Host: localhost:17250
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Connection: Keep-Alive
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Accept-Encoding: gzip,deflate
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/window/maximize HTTP/1.1[\r][\n]"
